Headline,URL
Skip to content,#main-content
British Broadcasting Corporation,/
Home,/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
Africa,/news/world/africa
Asia,/news/world/asia
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Home,/home
News,/news
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
UK Politics,/news/politics
England,/news/england
N. Ireland,/news/northern_ireland
N. Ireland Politics,/news/northern_ireland/northern_ireland_politics
Scotland,/news/scotland
Scotland Politics,/news/scotland/scotland_politics
Wales,/news/wales
Wales Politics,/news/wales/wales_politics
Africa,/news/world/africa
Asia,/news/world/asia
China,/news/world/asia/china
India,/news/world/asia/india
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Sport,/sport
Business,/business
Future of Business,/business/future-of-business
Technology of Business,/business/technology-of-business
Work Culture,/business/c-suite
Innovation,/innovation
Technology,/innovation/technology
Science & Health,/innovation/science
Artificial Intelligence,/innovation/artificial-intelligence
Culture,/culture
Film & TV,/culture/film-tv
Music,/culture/music
Art & Design,/culture/art
Style,/culture/style
Books,/culture/books
Entertainment News,/culture/entertainment-news
Travel,/travel
Destinations,/travel/destinations
Africa,/travel/destinations/africa
Antarctica,/travel/destinations/antarctica
Asia,/travel/destinations/asia
Australia and Pacific,/travel/destinations/australia-and-pacific
Caribbean & Bermuda,/travel/destinations/caribbean
Central America,/travel/destinations/central-america
Europe,/travel/destinations/europe
Middle East,/travel/destinations/middle-east
North America,/travel/destinations/north-america
South America,/travel/destinations/south-america
World’s Table,/travel/worlds-table
Culture & Experiences,/travel/cultural-experiences
Adventures,/travel/adventures
The SpeciaList,/travel/specialist
Earth,/future-planet
Natural Wonders,/future-planet/natural-wonders
Weather & Science,/future-planet/weather-science
Climate Solutions,/future-planet/solutions
Sustainable Business,/future-planet/sustainable-business
Green Living,/future-planet/green-living
Video,/video
Live,/live
Live News,/live/news
Live Sport,/live/sport
Home,/
Sport,/sport
Video,/video
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
"Search for British TV presenter shifts to remote area of Greek islandMichael Mosley, 67, was staying on the Greek island of Symi when he went missing on Wednesday.42 mins agoEurope",/news/articles/cxrrg9qxgd0o
Search for British TV presenter shifts to remote area of Greek island,
Danish PM suffered whiplash in street attackThe assault took place on a square in central Copenhagen where a man walked up to her and hit her.16 mins agoEurope,/news/articles/cv22k0rkl99o
Danish PM suffered whiplash in street attack,
"Giorgia Meloni gets personal as Italy votes in EU pollThe Italian prime minister has been enjoying steady poll ratings since 2022, while her allies lose support.9 hrs agoEurope",/news/articles/cydd8l25l7eo
Giorgia Meloni gets personal as Italy votes in EU poll,
The far right could make big gains in EU elections. What would that mean?Far right parties are forecast to win up to a quarter of European Parliament seats. What would that mean?9 hrs agoBBC InDepth,/news/articles/cv22vne9x03o
The far right could make big gains in EU elections. What would that mean?,
Taylor Swift review: Pop's heartbreak princess dazzles in Edinburgh6 hrs agoCulture,/news/articles/cqlld2g4232o
Taylor Swift review: Pop's heartbreak princess dazzles in Edinburgh,
Danish PM suffered whiplash in street attackThe assault took place on a square in central Copenhagen where a man walked up to her and hit her.16 mins agoEurope,/news/articles/cv22k0rkl99o
Danish PM suffered whiplash in street attack,
Nasa 'Earthrise' astronaut dies at 90 in plane crashThe photo taken by Bill Anders is one of the most famous images ever snapped in outer space. 3 hrs agoUS & Canada,/news/articles/cw99wj5e5q8o
Nasa 'Earthrise' astronaut dies at 90 in plane crash,
"I married the love of my life in a Ukrainian bunker - then he was killedAs Russia relentlessly shelled Mariupol in 2022, a romance was blooming several metres below.9 hrs agoEurope",/news/articles/cv220gq7p31o
I married the love of my life in a Ukrainian bunker - then he was killed,
"UN adds Israel to list of militaries committing violations against childrenIsraeli officials say the move is ""shameful"" and will ""have consequences for Israel's relations with the UN"".14 hrs agoMiddle East",/news/articles/c8883ndp2lko
UN adds Israel to list of militaries committing violations against children,
"Giorgia Meloni gets personal as Italy votes in EU pollThe Italian prime minister has been enjoying steady poll ratings since 2022, while her allies lose support.9 hrs agoEurope",/news/articles/cydd8l25l7eo
Giorgia Meloni gets personal as Italy votes in EU poll,
LIVETories to push stamp duty cut as Sunak D-Day fallout continues,https://www.bbc.com/news/live/uk-politics-69098963
Tories to push stamp duty cut as Sunak D-Day fallout continues,
Biden apologises for delay in Ukraine military aid17 hrs agoWorld,/news/articles/cv22kz2102ro
Biden apologises for delay in Ukraine military aid,
Brazil to ask Argentina to extradite alleged rioters8 hrs agoLatin America,/news/articles/c2vv504qj13o
Brazil to ask Argentina to extradite alleged rioters,
UN confirms 11 staff detained by Houthis in Yemen14 hrs agoMiddle East,/news/articles/cgxxlgevevwo
UN confirms 11 staff detained by Houthis in Yemen,
Howard University strips Diddy of honorary degree7 hrs agoUS & Canada,/news/articles/c4nn7g3edv9o
Howard University strips Diddy of honorary degree,
Features and analysis,
Crossbows and eerie silences – following Antarctic whales for climate change cluesHow scientists are discovering secrets of Antarctic climate change in the bodies of giant humpback whales. 9 hrs agoClimate,/news/articles/cj770nrx0x9o
Crossbows and eerie silences – following Antarctic whales for climate change clues,
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this yearFour of the Supreme Court justices revealed book deals were part of their earnings in 2023. 12 hrs agoUS & Canada",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
'I'm not actually looking for a man in finance'Megan Boni's 'Looking for a man in finance' TikTok has been viewed millions of times.9 hrs ago,/news/articles/c4nn503jz81o
'I'm not actually looking for a man in finance',
1984: How did the Isle of Jura help shape Orwell's masterpiece?Orwell's celebrated novel is celebrating 75 years in print but its message is as important as ever.13 mins agoScotland,/news/articles/cyrrylklzjdo
1984: How did the Isle of Jura help shape Orwell's masterpiece?,
"What big business wants for South Africa’s futureWith a unity government in the offing, the economy is a crucial subject for negotiations.2 hrs agoAfrica",/news/articles/c3ggn22zymyo
What big business wants for South Africa’s future,
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this yearFour of the Supreme Court justices revealed book deals were part of their earnings in 2023. 12 hrs agoUS & Canada",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
"India v Pakistan - When, where, time & rank T20 legendsIndia and Pakistan meet in one of the biggest games in cricket on Sunday at the T20 World Cup - here's everything you need to know. 3 hrs agoCricket",/sport/cricket/articles/c988nee342wo
"India v Pakistan - When, where, time & rank T20 legends",
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBCWitnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.2 days agoAsia",/news/articles/ckmm6jep6l7o
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
'I'm not actually looking for a man in finance'Megan Boni's 'Looking for a man in finance' TikTok has been viewed millions of times.9 hrs ago,/news/articles/c4nn503jz81o
'I'm not actually looking for a man in finance',
Most watched,
"1Choking during sex led to real violence, woman says",/news/videos/cevvn1dpgvzo
"Choking during sex led to real violence, woman says",
2On the coastal path near where Michael Mosley was last seen,/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
3What are Joro spiders and should you be scared of them?,/news/videos/crggmy00k4do
What are Joro spiders and should you be scared of them?,
4One-minute World News,/news/10462520
One-minute World News,
5'Wanna feed the giraffe?' Moment toddler grabbed from truck,/news/videos/cl44z1ne6e1o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
Also in news,
"Confident Putin warns Europe is ‘defenceless’The Russian leader appears to believe that in the current stand-off, the West will blink first.15 hrs agoEurope",/news/articles/cn00e422yr2o
Confident Putin warns Europe is ‘defenceless’,
Is Caitlin Clark treated 'harshly' or is the WNBA tough?New fans say the basketball star faces rough fouls and tough play. Longtime viewers say that is how the league has always been.20 mins agoUS & Canada,/news/articles/cx88pq1711yo
